,n p,n p|f=0,n p|f=1,p,p|f=0,p|f=1,std p,std p|f=0,std p|f=1
"electricity consumption per person_[26.757, 1320.325]",18.0,18.0,18.0,0.4333333333333333,0.5944444444444444,0.3555555555555555,0.22751858359780844,0.24608038433722337,0.20356303322738148
"electricity consumption_(55576666666.667, 3890000000000]",21.0,23.0,23.0,0.5047619047619046,0.2956521739130435,0.6304347826086956,0.14992061391346584,0.15805137504669234,0.28193291047322794
region_5,25.0,25.0,25.0,0.256,0.5480000000000002,0.336,0.18502252115170556,0.2740437921208944,0.2378374795247096
