,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=-1.8538 p=0.0793 g=-0.7279,t=-0.0536 p=0.9579 g=-0.0224,t=0.4840 p=0.6327 g=0.1727,t=0.8852 p=0.3836 g=0.2785,t=2.0060 p=0.0586 g=0.7753,t=2.1699 p*=0.0444 g=0.8898,t=1.5684 p=0.1342 g=0.6304,t=0.4061 p=0.6892 g=0.1600,t=1.1318 p=0.2720 g=0.4477,t=0.5875 p=0.5624 g=0.2127,t=0.4605 p=0.6501 g=0.1769,t=-4.3589 p**=0.0003 g=-1.2140,t=-4.3589 p**=0.0003 g=-1.2140
condition=domain_expert,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=nan p**=nan g=nan,t=nan p**=nan g=nan
condition=data_scientist,t=-0.8559 p=0.4022 g=-0.3300,t=-0.0469 p=0.9631 g=-0.0178,t=0.3014 p=0.7655 g=0.1044,t=0.6909 p=0.4955 g=0.2133,t=0.9555 p=0.3476 g=0.3154,t=1.8250 p=0.0867 g=0.7690,t=1.4233 p=0.1731 g=0.5899,t=0.5395 p=0.5960 g=0.2145,t=1.2324 p=0.2321 g=0.4752,t=1.4006 p=0.1779 g=0.5571,t=1.8360 p=0.0902 g=0.8667,t=-4.3589 p**=0.0003 g=-1.2140,t=-4.3589 p**=0.0003 g=-1.2140
condition=csfs,t=2.9054 p*=0.0152 g=1.5385,t=3.4405 p**=0.0066 g=1.8988,t=5.6273 p**=0.0002 g=3.0594,t=10.9147 p**=0.0000 g=5.0931,t=7.6418 p**=0.0000 g=4.1423,t=5.8971 p**=0.0002 g=3.1985,t=4.8793 p**=0.0006 g=2.6354,t=4.5379 p**=0.0010 g=2.4175,t=5.2290 p**=0.0002 g=2.5065,t=4.3366 p**=0.0008 g=1.9863,t=3.0340 p*=0.0116 g=1.5570,t=-4.3589 p**=0.0003 g=-1.2140,t=-4.3589 p**=0.0003 g=-1.2140
condition=random,t=-0.3049 p=0.7660 g=-0.0950,t=1.2838 p=0.2276 g=0.5166,t=2.6904 p*=0.0210 g=0.8823,t=6.2511 p**=0.0000 g=1.4955,t=4.8137 p**=0.0006 g=1.7164,t=3.8785 p**=0.0032 g=1.8359,t=3.2149 p**=0.0095 g=1.5443,t=2.6152 p*=0.0257 g=1.1054,t=3.2710 p**=0.0079 g=1.1986,t=2.5236 p*=0.0277 g=0.7681,t=1.7332 p=0.1110 g=0.5668,t=9.9499 p**=0.0000 g=1.0445,t=9.9499 p**=0.0000 g=1.0445
