,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=-2.4183 p*=0.0224 g=-0.5859,t=-2.0482 p=0.0509 g=-0.5428,t=-2.0577 p=0.0510 g=-0.6269,t=-3.1301 p**=0.0048 g=-1.0131,t=-2.9510 p**=0.0069 g=-0.8223,t=-1.9538 p=0.0631 g=-0.6120,t=-1.8695 p=0.0747 g=-0.6137,t=-2.8011 p*=0.0101 g=-0.8621,t=-2.5391 p*=0.0177 g=-0.6920,t=-1.8426 p=0.0775 g=-0.5141,t=-1.4347 p=0.1634 g=-0.3769,t=-10.5578 p**=0.0000 g=-1.4404,t=-10.5578 p**=0.0000 g=-1.4404
condition=domain_expert,t=0.3049 p=0.7660 g=0.0950,t=-1.2838 p=0.2276 g=-0.5166,t=-2.6904 p*=0.0210 g=-0.8823,t=-6.2511 p**=0.0000 g=-1.4955,t=-4.8137 p**=0.0006 g=-1.7164,t=-3.8785 p**=0.0032 g=-1.8359,t=-3.2149 p**=0.0095 g=-1.5443,t=-2.6152 p*=0.0257 g=-1.1054,t=-3.2710 p**=0.0079 g=-1.1986,t=-2.5236 p*=0.0277 g=-0.7681,t=-1.7332 p=0.1110 g=-0.5668,t=-9.9499 p**=0.0000 g=-1.0445,t=-9.9499 p**=0.0000 g=-1.0445
condition=data_scientist,t=-0.8919 p=0.3804 g=-0.2237,t=-1.6003 p=0.1234 g=-0.5084,t=-2.0911 p*=0.0480 g=-0.6774,t=-2.9940 p**=0.0067 g=-1.0309,t=-2.5870 p*=0.0172 g=-0.9831,t=-2.8067 p**=0.0099 g=-0.8367,t=-2.3531 p*=0.0276 g=-0.7317,t=-2.6585 p*=0.0139 g=-0.8043,t=-2.1852 p*=0.0388 g=-0.6250,t=-1.1800 p=0.2476 g=-0.2737,t=0.3316 p=0.7418 g=0.0589,t=-10.5578 p**=0.0000 g=-1.4404,t=-10.5578 p**=0.0000 g=-1.4404
condition=csfs,t=7.6239 p**=0.0000 g=1.0491,t=6.7514 p**=0.0000 g=0.9359,t=7.4382 p**=0.0000 g=0.9878,t=7.6784 p**=0.0000 g=1.1418,t=7.5692 p**=0.0000 g=1.0472,t=6.7368 p**=0.0000 g=1.0818,t=5.5407 p**=0.0000 g=0.9118,t=5.6730 p**=0.0000 g=0.9001,t=4.5050 p**=0.0001 g=0.8416,t=3.5742 p**=0.0009 g=0.6391,t=3.0005 p**=0.0038 g=0.4509,t=-10.5578 p**=0.0000 g=-1.4404,t=-10.5578 p**=0.0000 g=-1.4404
condition=random,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
