,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=domain_expert,t=1.8538 p=0.0793 g=0.7279,t=0.0536 p=0.9579 g=0.0224,t=-0.4840 p=0.6327 g=-0.1727,t=-0.8852 p=0.3836 g=-0.2785,t=-2.0060 p=0.0586 g=-0.7753,t=-2.1699 p*=0.0444 g=-0.8898,t=-1.5684 p=0.1342 g=-0.6304,t=-0.4061 p=0.6892 g=-0.1600,t=-1.1318 p=0.2720 g=-0.4477,t=-0.5875 p=0.5624 g=-0.2127,t=-0.4605 p=0.6501 g=-0.1769,t=4.3589 p**=0.0003 g=1.2140,t=4.3589 p**=0.0003 g=1.2140
condition=data_scientist,t=1.1279 p=0.2664 g=0.3660,t=0.0024 p=0.9981 g=0.0008,t=-0.1596 p=0.8741 g=-0.0518,t=-0.1108 p=0.9123 g=-0.0360,t=-0.6460 p=0.5230 g=-0.2096,t=-0.5111 p=0.6123 g=-0.1658,t=-0.2344 p=0.8159 g=-0.0760,t=0.1545 p=0.8781 g=0.0501,t=0.1540 p=0.8784 g=0.0500,t=0.7693 p=0.4468 g=0.2496,t=1.5580 p=0.1299 g=0.5055,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=csfs,t=6.6920 p**=0.0000 g=2.1712,t=5.4144 p**=0.0000 g=1.7567,t=5.0029 p**=0.0001 g=1.6232,t=6.1674 p**=0.0000 g=2.0010,t=6.4834 p**=0.0000 g=2.1035,t=4.9117 p**=0.0001 g=1.5936,t=4.1859 p**=0.0003 g=1.3581,t=5.3215 p**=0.0000 g=1.7265,t=5.0539 p**=0.0000 g=1.6397,t=3.7602 p**=0.0008 g=1.2200,t=3.0274 p**=0.0057 g=0.9822,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=random,t=2.4183 p*=0.0224 g=0.5859,t=2.0482 p=0.0509 g=0.5428,t=2.0577 p=0.0510 g=0.6269,t=3.1301 p**=0.0048 g=1.0131,t=2.9510 p**=0.0069 g=0.8223,t=1.9538 p=0.0631 g=0.6120,t=1.8695 p=0.0747 g=0.6137,t=2.8011 p*=0.0101 g=0.8621,t=2.5391 p*=0.0177 g=0.6920,t=1.8426 p=0.0775 g=0.5141,t=1.4347 p=0.1634 g=0.3769,t=10.5578 p**=0.0000 g=1.4404,t=10.5578 p**=0.0000 g=1.4404
