,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=-1.1279 p=0.2664 g=-0.3660,t=-0.0024 p=0.9981 g=-0.0008,t=0.1596 p=0.8741 g=0.0518,t=0.1108 p=0.9123 g=0.0360,t=0.6460 p=0.5230 g=0.2096,t=0.5111 p=0.6123 g=0.1658,t=0.2344 p=0.8159 g=0.0760,t=-0.1545 p=0.8781 g=-0.0501,t=-0.1540 p=0.8784 g=-0.0500,t=-0.7693 p=0.4468 g=-0.2496,t=-1.5580 p=0.1299 g=-0.5055,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=domain_expert,t=0.8559 p=0.4022 g=0.3300,t=0.0469 p=0.9631 g=0.0178,t=-0.3014 p=0.7655 g=-0.1044,t=-0.6909 p=0.4955 g=-0.2133,t=-0.9555 p=0.3476 g=-0.3154,t=-1.8250 p=0.0867 g=-0.7690,t=-1.4233 p=0.1731 g=-0.5899,t=-0.5395 p=0.5960 g=-0.2145,t=-1.2324 p=0.2321 g=-0.4752,t=-1.4006 p=0.1779 g=-0.5571,t=-1.8360 p=0.0902 g=-0.8667,t=4.3589 p**=0.0003 g=1.2140,t=4.3589 p**=0.0003 g=1.2140
condition=data_scientist,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=csfs,t=4.9216 p**=0.0001 g=1.5968,t=4.1913 p**=0.0004 g=1.3598,t=4.7737 p**=0.0001 g=1.5488,t=5.7558 p**=0.0000 g=1.8674,t=4.7519 p**=0.0001 g=1.5417,t=5.9602 p**=0.0000 g=1.9337,t=4.8432 p**=0.0001 g=1.5714,t=5.2393 p**=0.0000 g=1.6999,t=4.5936 p**=0.0001 g=1.4904,t=3.5538 p**=0.0012 g=1.1530,t=2.1916 p*=0.0352 g=0.7110,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=random,t=0.8919 p=0.3804 g=0.2237,t=1.6003 p=0.1234 g=0.5084,t=2.0911 p*=0.0480 g=0.6774,t=2.9940 p**=0.0067 g=1.0309,t=2.5870 p*=0.0172 g=0.9831,t=2.8067 p**=0.0099 g=0.8367,t=2.3531 p*=0.0276 g=0.7317,t=2.6585 p*=0.0139 g=0.8043,t=2.1852 p*=0.0388 g=0.6250,t=1.1800 p=0.2476 g=0.2737,t=-0.3316 p=0.7418 g=-0.0589,t=10.5578 p**=0.0000 g=1.4404,t=10.5578 p**=0.0000 g=1.4404
