,actual,actual,actual,actual,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,crowd,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff,diff
,mean,mean|f=0,mean|f=1,IG,geomean,geomean|f=0,geomean|f=1,majority_mean,majority_mean|f=0,majority_mean|f=1,mean,mean|f=0,mean|f=1,median,median|f=0,median|f=1,IG median,IG,IG geomean,IG majority_mean,IG,IG geomean,IG majority_mean,IG median,geomean,geomean|f=0,geomean|f=1,majority_mean,majority_mean|f=0,majority_mean|f=1,mean,mean|f=0,mean|f=1,median,median|f=0,median|f=1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"age_(16.927, 41.333]",0.6119590922,0.3540957657,0.16897520829999998,0.0314780214,0.5499640800822372,0.577845589651827,0.3117979388465959,0.6999999999999998,0.6,0.3,0.5952380952380952,0.5952380952380951,0.3333333333333333,0.6,0.6,0.3,0.053795817134385526,0.02126965611001164,0.020001313888553533,0.06276178665678311,0.01020836528998836,0.011476707511446468,0.031283765256783114,0.022317795734385526,0.061995012117762816,0.22374982395182696,0.14282273054659592,0.08804090779999985,0.24590423429999997,0.1310247917,0.016720996961904766,0.2411423295380951,0.16435812503333333,0.011959092200000021,0.24590423429999997,0.1310247917
"age_(41.333, 65.667]",0.35247688950000006,0.1707455891,0.36952165200000003,0.034442107,0.516649824708465,0.3420455089095235,0.4421595321213774,0.5,0.3,0.4,0.5466666666666667,0.3766666666666666,0.4766666666666666,0.5,0.3,0.4,0.04482984761198794,-0.017059210502506694,-0.005117397609857299,0.04482984761198794,0.051501317502506694,0.0395595046098573,0.010387740611987939,0.010387740611987939,0.16417293520846493,0.1712999198095235,0.07263788012137734,0.14752311049999994,0.12925441089999998,0.03047834799999999,0.1941897771666667,0.20592107756666658,0.1071450146666666,0.14752311049999994,0.12925441089999998,0.03047834799999999
"capital.loss_(2904, 4356]",0.0003378275,0.2407987711,0.2727272727,1.32032443700414e-06,0.2817140544812559,0.4459003404440712,0.5734627451330644,0.2,0.43333333333333335,0.5666666666666667,0.3375,0.496875,0.6375000000000001,0.3,0.5,0.7,0.006563324685460836,-0.01935262721127406,-0.03503469271773496,-0.016187179917517724,0.019353947535711066,0.035036013042171965,0.01618850024195473,0.006562004361023832,0.2813762269812559,0.20510156934407117,0.30073547243306437,0.1996621725,0.19253456223333335,0.29393939396666663,0.3371621725,0.25607622890000004,0.36477272730000004,0.2996621725,0.25920122889999997,0.42727272729999993
"education.num_(11, 16]",0.2805196401,0.1565287916,0.45697394350000003,0.0670128509,0.5470532222504305,0.2106548075948052,0.5083819178794794,0.7333333333333334,0.26666666666666666,0.6,0.6058823529411764,0.27352941176470585,0.5470588235294119,0.6499999999999999,0.2,0.55,0.0729723661520163,0.0263587581014908,0.07112423925272947,0.035815960670267044,0.040654092798509206,0.004111388352729464,0.03119689022973296,0.005959515252016295,0.2665335821504305,0.05412601599480521,0.05140797437947936,0.45281369323333337,0.11013787506666667,0.14302605649999994,0.3253627128411764,0.11700062016470586,0.0900848800294119,0.3694803598999999,0.043471208400000017,0.09302605650000001
"education.num_(6, 11]",0.6382482111,0.3671788777,0.16918487149999997,0.0346825402,0.3222603622923311,0.3423545852090803,0.3806997277324314,0.26666666666666666,0.3666666666666667,0.3333333333333333,0.4185185185185184,0.4185185185185185,0.4703703703703704,0.4,0.4,0.4,0.0,-0.025772013634678514,0.017285817886861787,0.0308143267379406,0.060454553834678515,0.017396722313138213,0.0038682134620594,0.0346825402,0.31598784880766884,0.02482429249091972,0.2115148562324314,0.3715815444333333,0.0005122110333333207,0.16414846183333334,0.21972969258148156,0.051339640818518495,0.3011854988703704,0.23824821109999994,0.032821122300000005,0.23081512850000005
education_Assoc-acdm,0.0327692638,0.24055375629999998,0.2483598875,7.569e-06,0.4323929382552549,0.332078339636112,0.5146041461048314,0.4,0.3333333333333333,0.5,0.45,0.35,0.54375,0.4,0.3,0.5,0.04217605491625298,0.0007290778803316077,0.0018421003453650273,0.01997309402197489,0.0007215088803316077,0.0018345313453650273,0.019965525021974892,0.04216848591625298,0.3996236744552549,0.09152458333611202,0.2662442586048314,0.3672307362,0.09277957703333334,0.2516401125,0.4172307362,0.1094462437,0.29539011249999997,0.3672307362,0.05944624370000001,0.2516401125
education_Assoc-voc,0.0424434139,0.2399050643,0.2612156295,7.154576603218829e-05,0.3442757325245491,0.25003213724559464,0.4300940628963131,0.3,0.20000000000000004,0.36666666666666653,0.37333333333333335,0.2833333333333333,0.4799999999999999,0.3,0.3,0.55,0.05621462879684125,0.0501718150559588,0.08307135511592145,0.1811774549553432,0.05010026928992661,0.08299980934988926,0.18110590918931102,0.05614308303080906,0.3018323186245491,0.010127072945594645,0.1688784333963131,0.2575565861,0.03990506429999996,0.10545103716666654,0.33088991943333335,0.04342826903333333,0.21878437049999994,0.2575565861,0.06009493569999999,0.28878437050000005
"hours.per.week_(0.902, 33.667]",0.1706028685,0.2760867955,0.0693069307,0.029357973399999997,0.3652090101730249,0.3909223306501806,0.2151735486693202,0.3,0.3666666666666667,0.23333333333333334,0.4062500000000001,0.4374999999999999,0.2749999999999999,0.4,0.4,0.2,0.0996089998269225,0.0302150885471425,0.06729710349874883,0.07216273969352449,0.0008571151471425016,0.03793913009874883,0.04280476629352449,0.0702510264269225,0.19460614167302487,0.11483553515018063,0.1458666179693202,0.12939713149999998,0.09057987116666671,0.16402640263333335,0.2356471315000001,0.1614132044999999,0.20569306929999992,0.22939713150000002,0.12391320450000004,0.13069306930000002
