Feature,Actual,,,,Crowd Estimate,,,,Diff,,,
,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG
"electricity consumption per person_(4244.0286, 48501.33]",0.3362831858,0.4666666667,0.8421052632,0.1017482664,0.52,0.35,0.645,-6.79737564623917E-005,0.1837168142,0.1166666667,0.1971052632,1.1971052632
"internet users_[14400, 1167666.667]",0.3362831858,0.7866666667,0.2105263158,0.2289239601,0.38,0.6225,0.2675,0.0250168465,0.0437168142,0.1641666667,0.0569736842,1.0569736842
medals,0.592920354,,,,0.3525,,,,0.240420354,,,
