,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=0.0654 p=0.9482 g=0.0210,t=-0.5159 p=0.6089 g=-0.1656,t=-0.4559 p=0.6511 g=-0.1466,t=0.7776 p=0.4426 g=0.2519,t=0.1729 p=0.8638 g=0.0558,t=-0.1433 p=0.8868 g=-0.0460,t=-1.1174 p=0.2707 g=-0.3573,t=-2.0463 p*=0.0476 g=-0.6563,t=-0.3197 p=0.7509 g=-0.1027,t=-0.9733 p=0.3368 g=-0.3135,t=-0.8033 p=0.4269 g=-0.2558,t=-0.5448 p=0.5892 g=-0.1733,t=-1.1040 p=0.2768 g=-0.3508
condition=domain_expert,t=0.4487 p=0.6564 g=0.1477,t=-0.0404 p=0.9680 g=-0.0135,t=1.1411 p=0.2616 g=0.3825,t=1.1266 p=0.2675 g=0.3768,t=0.8470 p=0.4027 g=0.2828,t=0.2369 p=0.8141 g=0.0781,t=-1.1797 p=0.2461 g=-0.3956,t=-1.6018 p=0.1182 g=-0.5367,t=-0.3883 p=0.7002 g=-0.1307,t=-0.4015 p=0.6904 g=-0.1336,t=0.1006 p=0.9204 g=0.0338,t=0.7358 p=0.4675 g=0.2503,t=0.7683 p=0.4473 g=0.2545
condition=data_scientist,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=csfs,t=2.8321 p**=0.0079 g=0.9188,t=3.8633 p**=0.0005 g=1.2534,t=3.9107 p**=0.0004 g=1.2688,t=3.8750 p**=0.0005 g=1.2572,t=3.8999 p**=0.0005 g=1.2653,t=3.0079 p**=0.0054 g=0.9759,t=2.4488 p*=0.0200 g=0.7945,t=1.9492 p=0.0595 g=0.6324,t=1.9845 p=0.0551 g=0.6438,t=0.8635 p=0.3944 g=0.2802,t=1.4103 p=0.1666 g=0.4576,t=1.3210 p=0.1948 g=0.4286,t=-0.2206 p=0.8266 g=-0.0716
condition=random,t=-0.9384 p=0.3567 g=-0.2430,t=-2.1321 p*=0.0410 g=-0.4645,t=-1.7284 p=0.0929 g=-0.3514,t=-0.7017 p=0.4881 g=-0.1529,t=-1.3693 p=0.1803 g=-0.2900,t=-1.6112 p=0.1163 g=-0.3280,t=-1.5209 p=0.1379 g=-0.3199,t=-1.2611 p=0.2163 g=-0.2665,t=0.0292 p=0.9769 g=0.0069,t=-0.3504 p=0.7290 g=-0.0938,t=0.5035 p=0.6183 g=0.1138,t=0.4992 p=0.6207 g=0.0995,t=-0.9911 p=0.3287 g=-0.2048
