,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=-3.1124 p**=0.0036 g=-0.9899,t=-4.7455 p**=0.0000 g=-1.5095,t=-4.9102 p**=0.0000 g=-1.5652,t=-4.1300 p**=0.0002 g=-1.3265,t=-4.6375 p**=0.0000 g=-1.4743,t=-3.5207 p**=0.0013 g=-1.1140,t=-3.6883 p**=0.0008 g=-1.1671,t=-4.4410 p**=0.0001 g=-1.4119,t=-2.5160 p*=0.0162 g=-0.8019,t=-2.2589 p*=0.0298 g=-0.7187,t=-2.0542 p*=0.0470 g=-0.6540,t=-1.6647 p=0.1040 g=-0.5326,t=-0.8378 p=0.4073 g=-0.2674
condition=domain_expert,t=-2.6851 p*=0.0112 g=-0.9055,t=-3.7812 p**=0.0007 g=-1.2866,t=-2.2885 p*=0.0296 g=-0.7810,t=-2.3456 p*=0.0260 g=-0.8000,t=-2.6858 p*=0.0125 g=-0.9239,t=-3.1207 p**=0.0041 g=-1.0645,t=-3.5825 p**=0.0013 g=-1.2289,t=-3.6069 p**=0.0012 g=-1.2311,t=-2.1602 p*=0.0394 g=-0.7382,t=-1.3470 p=0.1886 g=-0.4601,t=-1.1973 p=0.2394 g=-0.4020,t=-0.4114 p=0.6833 g=-0.1382,t=0.9201 p=0.3639 g=0.3019
condition=data_scientist,t=-2.8321 p**=0.0079 g=-0.9188,t=-3.8633 p**=0.0005 g=-1.2534,t=-3.9107 p**=0.0004 g=-1.2688,t=-3.8750 p**=0.0005 g=-1.2572,t=-3.8999 p**=0.0005 g=-1.2653,t=-3.0079 p**=0.0054 g=-0.9759,t=-2.4488 p*=0.0200 g=-0.7945,t=-1.9492 p=0.0595 g=-0.6324,t=-1.9845 p=0.0551 g=-0.6438,t=-0.8635 p=0.3944 g=-0.2802,t=-1.4103 p=0.1666 g=-0.4576,t=-1.3210 p=0.1948 g=-0.4286,t=0.2206 p=0.8266 g=0.0716
condition=csfs,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=random,t=-5.7273 p**=0.0000 g=-1.1055,t=-8.1018 p**=0.0000 g=-1.4083,t=-7.3424 p**=0.0000 g=-1.2151,t=-6.2875 p**=0.0000 g=-1.0883,t=-7.6533 p**=0.0000 g=-1.1542,t=-6.6183 p**=0.0000 g=-0.9548,t=-5.4528 p**=0.0000 g=-0.8777,t=-4.2522 p**=0.0001 g=-0.7238,t=-2.7731 p**=0.0087 g=-0.5376,t=-1.9053 p=0.0645 g=-0.3684,t=-1.2738 p=0.2125 g=-0.2868,t=-1.0961 p=0.2821 g=-0.2554,t=-0.6045 p=0.5503 g=-0.1406
