,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,"-0.4228203023274003, p=0.6749","-0.4594084632507387, p=0.6488","-1.644558841995779, p=0.1097","-0.607414736647949, p=0.5487","-0.7927989054843922, p=0.4339","-0.41258057327986014, p=0.6823","0.11355800776904013, p=0.9102","-0.2583705573465023, p=0.7977","0.12367255803334616, p=0.9023","-0.5263029498413195, p=0.6021","-0.8426831607729808, p=0.4048","-1.1178301189302942, p=0.2712","-1.775363872193537, p=0.0847"
condition=domain_expert,"0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000"
condition=data_scientist,"-0.4487231402235175, p=0.6564","0.04038777457723774, p=0.9680","-1.1410526463380068, p=0.2616","-1.1265632403858887, p=0.2675","-0.8469510370129937, p=0.4027","-0.2369085792842384, p=0.8141","1.1797086300245294, p=0.2461","1.6017707909725125, p=0.1182","0.38834460874874316, p=0.7002","0.4015222947954676, p=0.6904","-0.10061489084475796, p=0.9204","-0.7358078255740863, p=0.4675","-0.768296288886032, p=0.4473"
condition=csfs,"2.6850530323345194, p*=0.0112","3.7811892175047426, p**=0.0007","2.2884551236229966, p*=0.0296","2.345563016402781, p*=0.0260","2.6858120283628506, p*=0.0125","3.1206578783819996, p**=0.0041","3.5824854796098924, p**=0.0013","3.606891609055148, p**=0.0012","2.1601944361027745, p*=0.0394","1.346990086570881, p=0.1886","1.1972621301839146, p=0.2394","0.4114227532869279, p=0.6833","-0.9200821582205954, p=0.3639"
condition=random,"-1.7422913012637278, p=0.0929","-2.0014682534746986, p=0.0556","-2.91329741944437, p**=0.0070","-2.021519958126173, p=0.0536","-2.3339354705546733, p*=0.0271","-2.1228827797614107, p*=0.0405","0.03533288085716471, p=0.9721","0.7669707178213796, p=0.4499","0.49261707638121116, p=0.6271","0.17757695378997343, p=0.8606","0.32275560830142497, p=0.7497","-0.45573214342282853, p=0.6528","-2.0127129369847685, p=0.0525"
