,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=domain_expert,t=0.4228 p=0.6749 g=0.1383,t=0.4594 p=0.6488 g=0.1524,t=1.6446 p=0.1097 g=0.5522,t=0.6074 p=0.5487 g=0.2081,t=0.7928 p=0.4339 g=0.2677,t=0.4126 p=0.6823 g=0.1348,t=-0.1136 p=0.9102 g=-0.0375,t=0.2584 p=0.7977 g=0.0860,t=-0.1237 p=0.9023 g=-0.0416,t=0.5263 p=0.6021 g=0.1759,t=0.8427 p=0.4048 g=0.2747,t=1.1178 p=0.2712 g=0.3705,t=1.7754 p=0.0847 g=0.5654
condition=data_scientist,t=-0.0654 p=0.9482 g=-0.0210,t=0.5159 p=0.6089 g=0.1656,t=0.4559 p=0.6511 g=0.1466,t=-0.7776 p=0.4426 g=-0.2519,t=-0.1729 p=0.8638 g=-0.0558,t=0.1433 p=0.8868 g=0.0460,t=1.1174 p=0.2707 g=0.3573,t=2.0463 p*=0.0476 g=0.6563,t=0.3197 p=0.7509 g=0.1027,t=0.9733 p=0.3368 g=0.3135,t=0.8033 p=0.4269 g=0.2558,t=0.5448 p=0.5892 g=0.1733,t=1.1040 p=0.2768 g=0.3508
condition=csfs,t=3.1124 p**=0.0036 g=0.9899,t=4.7455 p**=0.0000 g=1.5095,t=4.9102 p**=0.0000 g=1.5652,t=4.1300 p**=0.0002 g=1.3265,t=4.6375 p**=0.0000 g=1.4743,t=3.5207 p**=0.0013 g=1.1140,t=3.6883 p**=0.0008 g=1.1671,t=4.4410 p**=0.0001 g=1.4119,t=2.5160 p*=0.0162 g=0.8019,t=2.2589 p*=0.0298 g=0.7187,t=2.0542 p*=0.0470 g=0.6540,t=1.6647 p=0.1040 g=0.5326,t=0.8378 p=0.4073 g=0.2674
condition=random,t=-1.1796 p=0.2472 g=-0.2699,t=-1.6459 p=0.1085 g=-0.3346,t=-1.3782 p=0.1752 g=-0.2513,t=-2.1013 p*=0.0401 g=-0.3403,t=-1.9377 p=0.0586 g=-0.3382,t=-1.5944 p=0.1185 g=-0.2981,t=-0.1100 p=0.9131 g=-0.0238,t=1.2375 p=0.2238 g=0.2495,t=0.4577 p=0.6502 g=0.0994,t=0.9779 p=0.3357 g=0.2221,t=1.3742 p=0.1806 g=0.3578,t=1.0268 p=0.3128 g=0.2430,t=0.4800 p=0.6350 g=0.1205
