,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13
condition=lay,t=1.1796 p=0.2472 g=0.2699,t=1.6459 p=0.1085 g=0.3346,t=1.3782 p=0.1752 g=0.2513,t=2.1013 p*=0.0401 g=0.3403,t=1.9377 p=0.0586 g=0.3382,t=1.5944 p=0.1185 g=0.2981,t=0.1100 p=0.9131 g=0.0238,t=-1.2375 p=0.2238 g=-0.2495,t=-0.4577 p=0.6502 g=-0.0994,t=-0.9779 p=0.3357 g=-0.2221,t=-1.3742 p=0.1806 g=-0.3578,t=-1.0268 p=0.3128 g=-0.2430,t=-0.4800 p=0.6350 g=-0.1205
condition=domain_expert,t=1.7423 p=0.0929 g=0.3946,t=2.0015 p=0.0556 g=0.4524,t=2.9133 p**=0.0070 g=0.6460,t=2.0215 p=0.0536 g=0.4704,t=2.3339 p*=0.0271 g=0.5163,t=2.1229 p*=0.0405 g=0.3867,t=-0.0353 p=0.9721 g=-0.0082,t=-0.7670 p=0.4499 g=-0.1766,t=-0.4926 p=0.6271 g=-0.1349,t=-0.1776 p=0.8606 g=-0.0481,t=-0.3228 p=0.7497 g=-0.0815,t=0.4557 p=0.6528 g=0.1200,t=2.0127 p=0.0525 g=0.3939
condition=data_scientist,t=0.9384 p=0.3567 g=0.2430,t=2.1321 p*=0.0410 g=0.4645,t=1.7284 p=0.0929 g=0.3514,t=0.7017 p=0.4881 g=0.1529,t=1.3693 p=0.1803 g=0.2900,t=1.6112 p=0.1163 g=0.3280,t=1.5209 p=0.1379 g=0.3199,t=1.2611 p=0.2163 g=0.2665,t=-0.0292 p=0.9769 g=-0.0069,t=0.3504 p=0.7290 g=0.0938,t=-0.5035 p=0.6183 g=-0.1138,t=-0.4992 p=0.6207 g=-0.0995,t=0.9911 p=0.3287 g=0.2048
condition=csfs,t=5.7273 p**=0.0000 g=1.1055,t=8.1018 p**=0.0000 g=1.4083,t=7.3424 p**=0.0000 g=1.2151,t=6.2875 p**=0.0000 g=1.0883,t=7.6533 p**=0.0000 g=1.1542,t=6.6183 p**=0.0000 g=0.9548,t=5.4528 p**=0.0000 g=0.8777,t=4.2522 p**=0.0001 g=0.7238,t=2.7731 p**=0.0087 g=0.5376,t=1.9053 p=0.0645 g=0.3684,t=1.2738 p=0.2125 g=0.2868,t=1.0961 p=0.2821 g=0.2554,t=0.6045 p=0.5503 g=0.1406
condition=random,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
