,"education expenditures_(4.133, 5.6]","education expenditures_(5.6, 12.8]","education expenditures_[0.6, 4.133]","electricity consumption per person_(1320.325, 4244.0286]","electricity consumption per person_(4244.0286, 48501.33]","electricity consumption per person_[26.757, 1320.325]","electricity consumption_(55576666666.667, 3890000000000]","electricity consumption_(7952000000, 55576666666.667]","electricity consumption_[90210000, 7952000000]","exports_(10071333333.333, 77193333333.333]","exports_(77193333333.333, 1580000000000]","exports_[1163000, 10071333333.333]","inflation rate_(1.9, 4.2]","inflation rate_(4.2, 56.2]","inflation rate_[-0.8, 1.9]","internet users_(1167666.667, 6149000]","internet users_(6149000, 245000000]","internet users_[14400, 1167666.667]",medals,"public debt_(37.7, 61.733]","public debt_(61.733, 226.1]","public debt_[3.3, 37.7]",region_1,region_2,region_3,region_4,region_5,region_6,"unemployment rate_(13.3, 85]","unemployment rate_(6.433, 13.3]","unemployment rate_[0.3, 6.433]"
"internet users_(1167666.667, 6149000]",-0.09702269440778635 (p=0.000),0.1257951152543446 (p=0.000),-0.0018966949261910336 (p=0.934),0.058208676755089575 (p=0.012),0.1967851463914465 (p=0.000),-0.172606767306641 (p=0.000),0.03516927815376838 (p=0.127),0.38107949467431823 (p=0.000),-0.2906910463637964 (p=0.000),0.3104875102707009 (p=0.000),0.08187466185570051 (p=0.000),-0.3177517451253122 (p=0.000),-0.01779359371819099 (p=0.440),-0.027204176824573933 (p=0.238),0.06124920079829224 (p=0.008),1.0 (p=0.000),,,,,,,,,,,,,,,
"internet users_(6149000, 245000000]",0.2144574308791102 (p=0.000),-0.12373497331460377 (p=0.000),-0.14137899368052043 (p=0.000),0.008147311372049519 (p=0.724),0.12170316948545 (p=0.000),-0.12212435852093977 (p=0.000),0.469115076724539 (p=0.000),-0.1156173576792305 (p=0.000),-0.250255631431934 (p=0.000),-0.019770474248388 (p=0.391),0.38866378056439993 (p=0.000),-0.2732889845298502 (p=0.000),0.09900787830990591 (p=0.000),-0.1476811198552103 (p=0.000),0.06554178602096442 (p=0.004),-0.33374211996136033 (p=0.000),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,
"internet users_[14400, 1167666.667]",-0.12172109263432321 (p=0.000),0.008149478270796939 (p=0.724),0.16090201143238386 (p=0.000),-0.030720933394570032 (p=0.183),-0.21733512610976397 (p=0.000),0.20310615735121204 (p=0.000),-0.4293148423008374 (p=0.000),-0.14130318871917305 (p=0.000),0.48992891771235964 (p=0.000),-0.18060507641958115 (p=0.000),-0.37880736982894997 (p=0.000),0.44603040451274484 (p=0.000),-0.07093354019053731 (p=0.002),0.1514823081606067 (p=0.000),-0.12026838196563884 (p=0.000),-0.43965279452417266 (p=0.000),-0.581713250374323 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,,
medals,0.02229574537757567 (p=0.334),0.016940020831005164 (p=0.463),-0.04539918043892775 (p=0.049),0.17727327864681894 (p=0.000),0.38186833320013436 (p=0.000),-0.41505711346714574 (p=0.000),0.434961899264716 (p=0.000),0.22206289681143263 (p=0.000),-0.4420227012118955 (p=0.000),0.26461208442046774 (p=0.000),0.393696545229064 (p=0.000),-0.5439944581742282 (p=0.000),0.0776644879067294 (p=0.001),-0.16664479207812727 (p=0.000),0.08552652355072396 (p=0.000),0.288504393459991 (p=0.000),0.2720623368759485 (p=0.000),-0.4129941214338061 (p=0.000),1.0 (p=0.000),,,,,,,,,,,,
"public debt_(37.7, 61.733]",0.1949614993714814 (p=0.000),-0.0542820519656668 (p=0.019),-0.1595309565902162 (p=0.000),-0.05274851853504186 (p=0.022),-0.2217363495752555 (p=0.000),0.1858803495030635 (p=0.000),-0.11222656349980875 (p=0.000),-0.18248212767930172 (p=0.000),0.1741903016284023 (p=0.000),-0.16900045376799763 (p=0.000),-0.18011243192873153 (p=0.000),0.2919455225319666 (p=0.000),-0.016045381282526503 (p=0.487),0.023302669368727137 (p=0.312),-0.026610168916995382 (p=0.249),-0.2294198380166313 (p=0.000),0.1562637180379834 (p=0.000),-0.020881687191931866 (p=0.365),-0.171283729893204 (p=0.000),1.0 (p=0.000),,,,,,,,,,,
"public debt_(61.733, 226.1]",-0.046909846597748585 (p=0.042),0.0861647333404959 (p=0.000),-0.03057518700416604 (p=0.185),-0.01235640125671006 (p=0.592),0.18832986167367824 (p=0.000),-0.1197418422705321 (p=0.000),0.11303698248539074 (p=0.000),0.024636392104930422 (p=0.285),-0.07496063636089023 (p=0.001),-0.0369298467781621 (p=0.109),0.14577491483325503 (p=0.000),-0.0921672096616203 (p=0.000),0.034625293181898345 (p=0.133),-0.12153020758133957 (p=0.000),0.12403299074463142 (p=0.000),0.13018447173727316 (p=0.000),-0.05363055566275632 (p=0.020),-0.019315390859973643 (p=0.402),0.09596642354451886 (p=0.000),-0.5488190370244537 (p=0.000),1.0000000000000002 (p=0.000),,,,,,,,,,
"public debt_[3.3, 37.7]",-0.1805070226658691 (p=0.000),-0.005354692281096751 (p=0.816),0.20608311490057543 (p=0.000),0.06653145098793284 (p=0.004),0.08788740420627426 (p=0.000),-0.10482825917776045 (p=0.000),0.025961092435378016 (p=0.260),0.19830374504721043 (p=0.000),-0.13756868823777604 (p=0.000),0.2300979469696863 (p=0.000),0.07420929060186855 (p=0.001),-0.2540910694530349 (p=0.000),-0.009648318874229666 (p=0.676),0.07646104517117308 (p=0.001),-0.07871613679980405 (p=0.001),0.1615708368450537 (p=0.000),-0.1313966470503637 (p=0.000),0.03327252393095274 (p=0.149),0.11013511915522178 (p=0.000),-0.6450808603733442 (p=0.000),-0.2558921871062376 (p=0.000),1.0 (p=0.000),,,,,,,,,
region_1,0.02542950555615173 (p=0.270),0.148500731094301 (p=0.000),-0.16895149100348722 (p=0.000),-0.14967876667030197 (p=0.000),0.6146771524883579 (p=0.000),-0.36691856597280365 (p=0.000),0.37990774245299785 (p=0.000),-0.016019455575365334 (p=0.487),-0.25437433943217896 (p=0.000),0.009836229895742421 (p=0.670),0.42992569852051216 (p=0.000),-0.3569457852787524 (p=0.000),0.17564131720450574 (p=0.000),-0.35762037330099034 (p=0.000),0.25113497942552504 (p=0.000),0.1217397743525966 (p=0.000),0.18170479201105905 (p=0.000),-0.23483046042674513 (p=0.000),0.32174705466843595 (p=0.000),-0.14218237859970803 (p=0.000),0.2688745667726755 (p=0.000),-0.06897053746357343 (p=0.003),1.0000000000000002 (p=0.000),,,,,,,,
region_2,0.05520777297620088 (p=0.017),-0.05501823917795677 (p=0.017),0.004433721352925144 (p=0.848),0.40662440469414374 (p=0.000),0.016789097986756537 (p=0.467),-0.330212207063915 (p=0.000),-0.036543991628779804 (p=0.113),0.27353231160035124 (p=0.000),-0.15169978399901174 (p=0.000),0.16939024802858177 (p=0.000),-0.040739141974363416 (p=0.077),-0.11108997885632903 (p=0.000),-0.003476137015775359 (p=0.880),0.005378246031537966 (p=0.816),0.002350310876039957 (p=0.919),0.21075325800490113 (p=0.000),-0.05729690314870078 (p=0.013),-0.08285676016169788 (p=0.000),0.2902375339164575 (p=0.000),-0.07350181387444074 (p=0.001),-0.11065331276814845 (p=0.000),0.1877583319091793 (p=0.000),-0.16199798036671575 (p=0.000),1.0 (p=0.000),,,,,,,
region_3,-0.06130955157268761 (p=0.008),0.00043575553677503844 (p=0.985),0.07223530992561804 (p=0.002),-0.14168466934614243 (p=0.000),-0.09485863555667548 (p=0.000),0.1869438596607724 (p=0.000),0.11819264978543959 (p=0.000),-0.09985830036365463 (p=0.000),-0.08532125499509692 (p=0.000),-0.06643505762307318 (p=0.004),0.08192979122050668 (p=0.000),-0.025296809580905223 (p=0.273),0.012897861929048253 (p=0.576),0.023624849996299668 (p=0.306),-0.03715933838066246 (p=0.107),-0.09861470189914567 (p=0.000),0.053812489922478814 (p=0.020),-0.07572413466864858 (p=0.001),-0.09331394769976581 (p=0.000),0.12908896404172215 (p=0.000),-0.05194336538526523 (p=0.024),-0.1016761940162651 (p=0.000),-0.17364567750627838 (p=0.000),-0.17889851372969012 (p=0.000),1.0000000000000002 (p=0.000),,,,,,
region_4,-0.0013094028375457024 (p=0.955),-0.06058508959694251 (p=0.009),0.04288973252650115 (p=0.063),0.05376809500822319 (p=0.020),0.08150725753717245 (p=0.000),-0.08560045719740166 (p=0.000),0.029436716838281904 (p=0.202),0.2602916836016566 (p=0.000),-0.20432704191437395 (p=0.000),0.22748404822316068 (p=0.000),0.00911666314362422 (p=0.693),-0.19382280813548786 (p=0.000),0.02372452569633919 (p=0.304),-0.040130820572652916 (p=0.082),0.00506965222501523 (p=0.826),0.06019514307272124 (p=0.009),0.010934739341547052 (p=0.635),-0.019576869489157125 (p=0.396),0.022102888819825618 (p=0.338),-0.13484547874065314 (p=0.000),0.07235707593660404 (p=0.002),0.09019698900372927 (p=0.000),-0.1322664171863861 (p=0.000),-0.13626751780297025 (p=0.000),-0.1460651879574746 (p=0.000),1.0000000000000002 (p=0.000),,,,,
region_5,-0.0067054397833310655 (p=0.771),-0.006170579897402839 (p=0.789),0.006835792394136363 (p=0.767),-0.2418230146395141 (p=0.000),-0.3314649068770639 (p=0.000),0.3989267811466679 (p=0.000),-0.2687640689091399 (p=0.000),-0.26055768074621044 (p=0.000),0.3787514951699316 (p=0.000),-0.22771944998922217 (p=0.000),-0.25288086286343653 (p=0.000),0.40207446924709056 (p=0.000),-0.1476591745244113 (p=0.000),0.2551242834481836 (p=0.000),-0.15984126443200697 (p=0.000),-0.16652024732080142 (p=0.000),-0.12896877461806838 (p=0.000),0.2436186087241847 (p=0.000),-0.3370665790451093 (p=0.000),0.1266951948286632 (p=0.000),-0.12474355526171772 (p=0.000),-0.04058261466243771 (p=0.078),-0.23785776161387295 (p=0.000),-0.2450530335271621 (p=0.000),-0.26267241070207603 (p=0.000),-0.20007833858126628 (p=0.000),1.0 (p=0.000),,,,
region_6,-0.005454659322827865 (p=0.813),-0.027425336472513717 (p=0.234),0.03507280515291473 (p=0.128),0.1299270227967674 (p=0.000),-0.15103588872695387 (p=0.000),0.05639039571884217 (p=0.014),-0.12883587446154965 (p=0.000),-0.042298276219893606 (p=0.067),0.16612682138839058 (p=0.000),-0.01536354700897423 (p=0.505),-0.13703851382827106 (p=0.000),0.12939235816164302 (p=0.000),-0.014354879164121521 (p=0.534),0.028954940923677116 (p=0.209),-0.010677912783860242 (p=0.643),-0.06021015747083961 (p=0.009),-0.021099296225593474 (p=0.360),0.09004861125872682 (p=0.000),-0.08957228600059577 (p=0.000),0.029269203262150288 (p=0.204),-0.002514914524471846 (p=0.913),-0.035082485158251846 (p=0.128),-0.19545800423012744 (p=0.000),-0.2013706701802411 (p=0.000),-0.2158492740106139 (p=0.000),-0.1644130192911608 (p=0.000),-0.29566774076646873 (p=0.000),1.0 (p=0.000),,,
"unemployment rate_(13.3, 85]",0.1193822753225143 (p=0.000),-0.057037431715779345 (p=0.013),-0.08792904378243309 (p=0.000),-0.09415914661166483 (p=0.000),-0.3469109813141972 (p=0.000),0.3255070330747664 (p=0.000),-0.31201809173410644 (p=0.000),-0.10118405369973242 (p=0.000),0.260525739106092 (p=0.000),-0.1630181390822045 (p=0.000),-0.34109920005112304 (p=0.000),0.4171190387956808 (p=0.000),-0.11511621363501028 (p=0.000),0.17671861880669756 (p=0.000),-0.10140182021611191 (p=0.000),-0.142899601769699 (p=0.000),-0.16102357212551016 (p=0.000),0.22827296569709724 (p=0.000),-0.3084009211984955 (p=0.000),0.18074263930544543 (p=0.000),-0.07680090037195159 (p=0.001),-0.14378343923218115 (p=0.000),-0.28570866656058475 (p=0.000),-0.0932221545009782 (p=0.000),-0.1658747299203839 (p=0.000),0.07777906540809157 (p=0.001),0.5041666578841301 (p=0.000),-0.1368191602903378 (p=0.000),0.9999999999999999 (p=0.000),,
"unemployment rate_(6.433, 13.3]",-0.021122137931796937 (p=0.360),0.038329549624519475 (p=0.097),-0.007624932296943833 (p=0.741),0.06167535882608247 (p=0.007),0.1155472389468885 (p=0.000),-0.10750081812405882 (p=0.000),0.18670877048018228 (p=0.000),-0.0045337590780097055 (p=0.844),-0.08984180602787821 (p=0.000),0.13859464363247556 (p=0.000),0.11142565688858942 (p=0.000),-0.20931863471570442 (p=0.000),0.07197491625793045 (p=0.002),-0.10435123389685981 (p=0.000),0.06037115310335176 (p=0.009),0.0610906058717914 (p=0.008),0.12696285605499458 (p=0.000),-0.14017603821795366 (p=0.000),0.21127491688253547 (p=0.000),-0.05708546016102106 (p=0.013),0.12766983251574177 (p=0.000),-0.0356047005464082 (p=0.123),0.09212347955777676 (p=0.000),0.13182091098218443 (p=0.000),-0.05787653483382954 (p=0.012),-0.011924474738456401 (p=0.605),-0.2752771281196848 (p=0.000),0.17288218051511048 (p=0.000),-0.550092415229597 (p=0.000),0.9999999999999999 (p=0.000),
"unemployment rate_[0.3, 6.433]",-0.10496963210752863 (p=0.000),0.03598006533105331 (p=0.119),0.08687741932166951 (p=0.000),0.05838154980948366 (p=0.011),0.28209412084220464 (p=0.000),-0.27948573697887075 (p=0.000),0.1767736762797136 (p=0.000),0.11442049813479944 (p=0.000),-0.20791506688543318 (p=0.000),0.05172416810235936 (p=0.025),0.28367192621556264 (p=0.000),-0.27514508313711517 (p=0.000),0.06233939598966911 (p=0.007),-0.10919179648304059 (p=0.000),0.0648562612211336 (p=0.005),0.09846416852790883 (p=0.000),0.07049809819725336 (p=0.002),-0.11734607445714729 (p=0.000),0.15166685462320054 (p=0.000),-0.13957994409819435 (p=0.000),-0.04371922786349702 (p=0.058),0.19765143852091868 (p=0.000),0.23891143109234833 (p=0.000),-0.016761797008607863 (p=0.467),0.24013565171667411 (p=0.000),-0.07642938629435454 (p=0.001),-0.31431932511850913 (p=0.000),-0.006655038620993614 (p=0.773),-0.5534528840550168 (p=0.000),-0.36422449424990555 (p=0.000),1.0 (p=0.000)
