,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4
,auc,ci_hi,ci_lo,std,auc,ci_hi,ci_lo,std,auc,ci_hi,ci_lo,std,bestvalue,auc,features,count_features_ratio
,,,,,,,,,,,,,,,,
10,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.2302630638,0.543701996928,"['failures_(-0.003, 1]']",0.06666666666666667
20,0.27185099846390165,3.7260454427497227,-3.1823434458219197,0.27185099846390165,0.4909572861402625,0.6945751737943114,0.2873393984862136,0.20383240511997397,0.5218509984639017,0.5393195902290427,0.5043824066987607,0.001374807987711224,0.3597034695,0.543701996928,"['failures_(-0.003, 1]', 'failures_(2, 3]']",0.13333333333333333
30,0.519827188940092,0.8231853872749552,0.21646899060522895,0.023874807987711216,0.573562069989286,0.6106459086059055,0.5364782313726666,0.037122907537225865,0.5218509984639017,0.5393195902290427,0.5043824066987607,0.001374807987711224,0.4784125703,0.620909279841,"['failures_(-0.003, 1]', 'failures_(2, 3]', 'higher==yes']",0.2
40,0.519827188940092,0.8231853872749552,0.21646899060522895,0.023874807987711216,0.5899370457860563,0.6175718372615818,0.5623022543105308,0.02766390554554656,0.5665498780157223,1.1519715848554157,-0.018871828823970982,0.04607368753953195,0.5140253005,0.620145477546,"['failures_(-0.003, 1]', 'failures_(2, 3]', 'higher==yes', 'paid==yes']",0.26666666666666666
50,0.531684331797235,0.6686517538216787,0.3947169097727912,0.010779569892473195,0.592667292723541,0.6199854572061877,0.5653491282408943,0.027346944976767575,0.5472051368934671,1.378425085005813,-0.28401481121887906,0.06541842866178724,0.5723752594,0.658006867263,"['Pstatus==T', 'failures_(-0.003, 1]', 'failures_(2, 3]', 'higher==yes', 'studytime_(0.997, 2]']",0.3333333333333333
60,0.531684331797235,0.6686517538216787,0.3947169097727912,0.010779569892473195,0.6042693916276188,0.6395275214119529,0.5690112618432848,0.03529527526669684,0.5513479940363243,1.4352079331996037,-0.33251194512695514,0.06956128580464441,0.6079879896,0.656268546128,"['Pstatus==T', 'failures_(-0.003, 1]', 'failures_(2, 3]', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.4
70,0.5842728381675251,1.0376818195166213,0.13086385681842883,0.035684060721062616,0.6046728691476592,0.6394994538259265,0.5698462844693918,0.03486327551509948,0.5513479940363243,1.4352079331996037,-0.33251194512695514,0.06956128580464441,0.6259199287,0.668961687901,"['absences_(21.333, 32]', 'failures_(-0.003, 1]', 'failures_(2, 3]', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.4
80,0.5842728381675251,1.0376818195166213,0.13086385681842883,0.035684060721062616,0.6255442499580477,0.650113542602164,0.6009749573139314,0.02459517712046719,0.5531084982380049,1.4145991105753812,-0.30838211409937144,0.06780078160296377,0.6549693342,0.657744736604,"['Pstatus==T', 'absences_(21.333, 32]', 'failures_(-0.003, 1]', 'failures_(2, 3]', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.4666666666666667
90,0.6040971808078069,1.0638873933781097,0.14430696823750422,0.03618627450980394,0.6232230698731106,0.6526844391437302,0.593761700602491,0.02949240769436232,0.5531084982380049,1.4145991105753812,-0.30838211409937144,0.06780078160296377,0.670924424,0.65848513599,"['Pstatus==T', 'absences_(21.333, 32]', 'failures_(-0.003, 1]', 'failures_(1, 2]', 'failures_(2, 3]', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.5333333333333333
100,0.5975144348061805,0.9736629289518871,0.22136594066047388,0.029603528508177435,0.62578886393267,0.6591736814322904,0.5924040464330496,0.03341998939209461,0.6284130523177013,1.209000327821537,0.04782577681386535,0.045693209541881274,0.6854491268,0.646880229511,"['Pstatus==T', 'absences_(21.333, 32]', 'failures_(-0.003, 1]', 'failures_(1, 2]', 'failures_(2, 3]', 'famsize==LE3', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.6
110,0.6295067543146291,0.659859221836621,0.5991542867926372,0.002388791000271173,0.6288520827685914,0.6575742428792031,0.6001299226579797,0.02875241975564493,0.6284130523177013,1.209000327821537,0.04782577681386535,0.045693209541881274,0.6973200369,0.665817791633,"['Fjob_teacher', 'Pstatus==T', 'absences_(21.333, 32]', 'failures_(-0.003, 1]', 'failures_(1, 2]', 'failures_(2, 3]', 'famsize==LE3', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.6666666666666666
120,0.6295067543146291,0.659859221836621,0.5991542867926372,0.002388791000271173,0.6274701170790896,0.6558261930956181,0.5991140410625612,0.028385949981142848,0.6284130523177013,1.209000327821537,0.04782577681386535,0.045693209541881274,0.709190947,0.680216589862,"['Medu_(-0.004, 1.333]', 'Pstatus==T', 'absences_(21.333, 32]', 'failures_(-0.003, 1]', 'failures_(1, 2]', 'failures_(2, 3]', 'famsize==LE3', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.6666666666666666
130,0.62856293485136,0.6469230390388245,0.6102028306638954,0.0014449715370020155,0.6463689540332263,0.6714901748432023,0.6212477332232502,0.025147686758970896,0.6274844808891298,1.1962731377091358,0.05869582406912377,0.04476463811330983,0.7210618571,0.692608927442,"['Fjob_teacher', 'Medu_(-0.004, 1.333]', 'Pstatus==T', 'absences_(21.333, 32]', 'failures_(-0.003, 1]', 'failures_(1, 2]', 'failures_(2, 3]', 'famsize==LE3', 'higher==yes', 'paid==yes', 'studytime_(0.997, 2]']",0.7333333333333333
