,W,p
"electricity consumption_(55576666666.667, 3890000000000]_1",0.8961824774742126,0.0698365718126297
"electricity consumption_[90210000, 7952000000]_1",0.9162459969520569,0.014440702274441719
"exports_(77193333333.333, 1580000000000]_1",0.9250487089157104,0.004499624017626047
"internet users_[14400, 1167666.667]_1",0.9354292154312134,0.176778644323349
"public debt_(61.733, 226.1]",0.9522901177406311,0.14378616213798523
region_3,0.9037904143333435,0.008974675089120865
region_5_1,0.8149869441986084,0.0008669250528328121
