education_Assoc-acdm_0,"If a person working in the USA *does not have an associate's degree*, what is the probability that this person earns more than $50,000 per year?"
education_Assoc-acdm_1,"If a person working in the USA *has an associate's degree*, what is the probability that this person earns more than $50,000 per year?"
education_Assoc-acdm,What is the percentage of people working in the USA who *have an associate's degree*?
