,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13,f_count=14,f_count=15,f_count=16,f_count=17
condition=lay,"0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000"
condition=domain_expert,"-0.8589434679688229, p=0.3989","0.3240045716785848, p=0.7485","0.41109908210164314, p=0.6849","-0.36522845408123716, p=0.7179","-0.09213537363126272, p=0.9273","0.45622733313733954, p=0.6520","0.421903549705303, p=0.6766","1.0856455182558564, p=0.2864","2.4719926178198106, p*=0.0206","2.3845740943570526, p*=0.0250","1.0917245395509574, p=0.2840","-0.9216569910357811, p=0.3675","-1.2334367990998572, p=0.2298","-1.2810049099900285, p=0.2170","-0.15168227334480183, p=0.8805","-1.4529663146091392, p=0.1625","-1.4529663146091392, p=0.1625"
condition=data_scientist,"0.028075485928600753, p=0.9777","0.3426533883884277, p=0.7337","0.9064362774604173, p=0.3705","-0.45655741290691554, p=0.6507","0.17183715269678426, p=0.8645","0.016194135250266202, p=0.9872","0.19002342924644422, p=0.8503","1.2193554543660314, p=0.2303","1.6560344577220016, p=0.1069","1.0064126192633787, p=0.3216","-0.11618371568172113, p=0.9081","-0.8697317257909905, p=0.3909","-0.9518352862550744, p=0.3474","-1.6729093578320517, p=0.1054","-0.6971827447149996, p=0.4900","-2.054804667453567, p*=0.0468","-2.054804667453567, p*=0.0468"
condition=csfs,"-1.0660814728912118, p=0.2931","0.5090040250820719, p=0.6137","0.19571398492119027, p=0.8459","-0.8135989600795667, p=0.4211","-1.1806922219738025, p=0.2451","-1.4616230734833968, p=0.1521","-0.196430723594937, p=0.8453","0.1803589972796741, p=0.8578","0.5400761824877858, p=0.5923","0.6199902508623133, p=0.5390","0.8416924085663126, p=0.4070","0.3710403613482015, p=0.7127","0.25205578351055, p=0.8026","0.7078528491243606, p=0.4841","1.3296149994286857, p=0.1983","-1.452966314131233, p=0.1625","-1.452966314131233, p=0.1625"
condition=random,"0.023615972535881356, p=0.9813","1.1742800316663018, p=0.2494","1.0064849545847565, p=0.3221","-0.1663393264899687, p=0.8691","0.5859922579447192, p=0.5626","0.7912826974083842, p=0.4365","1.4094606102360678, p=0.1721","1.7302620553018335, p=0.0969","1.69190981774136, p=0.1045","0.6814988079140324, p=0.5023","-0.6243259614990506, p=0.5380","-2.666791695063185, p*=0.0109","-2.9494009189122425, p**=0.0053","-3.089742014779508, p**=0.0035","-1.1662199561364268, p=0.2532","-1.6423166120552344, p=0.1135","-1.6423166120552344, p=0.1135"
