,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13,f_count=14,f_count=15,f_count=16,f_count=17
condition=lay,t=1.0661 p=0.2931 g=0.3459,t=-0.5090 p=0.6137 g=-0.1651,t=-0.1957 p=0.8459 g=-0.0635,t=0.8136 p=0.4211 g=0.2640,t=1.1807 p=0.2451 g=0.3831,t=1.4616 p=0.1521 g=0.4742,t=0.1964 p=0.8453 g=0.0637,t=-0.1804 p=0.8578 g=-0.0585,t=-0.5401 p=0.5923 g=-0.1752,t=-0.6200 p=0.5390 g=-0.2012,t=-0.8417 p=0.4070 g=-0.2731,t=-0.3710 p=0.7127 g=-0.1204,t=-0.2521 p=0.8026 g=-0.0818,t=-0.7079 p=0.4841 g=-0.2297,t=-1.3296 p=0.1983 g=-0.4314,t=1.4530 p=0.1625 g=0.4714,t=1.4530 p=0.1625 g=0.4714
condition=domain_expert,t=0.0836 p=0.9341 g=0.0312,t=-0.1549 p=0.8781 g=-0.0563,t=0.2119 p=0.8338 g=0.0770,t=0.4454 p=0.6593 g=0.1537,t=0.9967 p=0.3278 g=0.3577,t=1.8450 p=0.0773 g=0.6876,t=0.6038 p=0.5513 g=0.2208,t=0.8621 p=0.3955 g=0.2901,t=1.7930 p=0.0850 g=0.5461,t=1.4768 p=0.1524 g=0.4469,t=0.4123 p=0.6836 g=0.1513,t=-1.2364 p=0.2317 g=-0.5020,t=-1.6058 p=0.1275 g=-0.6806,t=-1.7980 p=0.0942 g=-0.8125,t=-1.5757 p=0.1413 g=-0.7560,t=-3.3166 p**=0.0069 g=-1.6514,t=-3.3166 p**=0.0069 g=-1.6514
condition=data_scientist,t=1.1105 p=0.2738 g=0.3603,t=-0.1668 p=0.8684 g=-0.0541,t=0.6412 p=0.5252 g=0.2080,t=0.3215 p=0.7496 g=0.1043,t=1.3212 p=0.1944 g=0.4286,t=1.4096 p=0.1670 g=0.4573,t=0.3802 p=0.7059 g=0.1234,t=1.0012 p=0.3232 g=0.3248,t=1.0419 p=0.3048 g=0.3380,t=0.2421 p=0.8103 g=0.0785,t=-1.0589 p=0.2980 g=-0.3436,t=-1.1720 p=0.2505 g=-0.3803,t=-1.3152 p=0.1988 g=-0.4267,t=-2.1895 p*=0.0389 g=-0.7104,t=-2.5804 p*=0.0175 g=-0.8372,t=-1.4530 p=0.1625 g=-0.4714,t=-1.4530 p=0.1625 g=-0.4714
condition=csfs,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=nan p**=nan g=nan,t=nan p**=nan g=nan
condition=random,t=1.3751 p=0.1797 g=0.3210,t=0.5327 p=0.5981 g=0.1190,t=0.6266 p=0.5363 g=0.1589,t=0.8392 p=0.4093 g=0.2289,t=2.0014 p=0.0558 g=0.5156,t=2.8851 p**=0.0079 g=0.7711,t=1.6718 p=0.1081 g=0.5190,t=1.4177 p=0.1698 g=0.4471,t=0.9754 p=0.3397 g=0.3144,t=-0.1678 p=0.8682 g=-0.0529,t=-2.4938 p*=0.0164 g=-0.4371,t=-3.3198 p**=0.0017 g=-0.5639,t=-4.1544 p**=0.0001 g=-0.6111,t=-4.7391 p**=0.0000 g=-0.6792,t=-5.0837 p**=0.0000 g=-0.6002,t=-0.8151 p=0.4170 g=-0.0894,t=-0.8151 p=0.4170 g=-0.0894
