,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13,f_count=14,f_count=15,f_count=16,f_count=17
condition=lay,t=0.8589 p=0.3989 g=0.3214,t=-0.3240 p=0.7485 g=-0.1178,t=-0.4111 p=0.6849 g=-0.1572,t=0.3652 p=0.7179 g=0.1326,t=0.0921 p=0.9273 g=0.0340,t=-0.4562 p=0.6520 g=-0.1657,t=-0.4219 p=0.6766 g=-0.1543,t=-1.0856 p=0.2864 g=-0.3692,t=-2.4720 p*=0.0206 g=-0.7520,t=-2.3846 p*=0.0250 g=-0.7256,t=-1.0917 p=0.2840 g=-0.3467,t=0.9217 p=0.3675 g=0.3625,t=1.2334 p=0.2298 g=0.4659,t=1.2810 p=0.2170 g=0.5315,t=0.1517 p=0.8805 g=0.0532,t=1.4530 p=0.1625 g=0.4189,t=1.4530 p=0.1625 g=0.4189
condition=domain_expert,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000,t=0.0000 p=1.0000 g=0.0000
condition=data_scientist,t=0.8939 p=0.3805 g=0.3373,t=-0.0019 p=0.9985 g=-0.0007,t=0.3843 p=0.7040 g=0.1418,t=-0.1072 p=0.9154 g=-0.0369,t=0.2475 p=0.8065 g=0.0903,t=-0.4233 p=0.6754 g=-0.1504,t=-0.2336 p=0.8171 g=-0.0841,t=0.1874 p=0.8527 g=0.0648,t=-0.8205 p=0.4186 g=-0.2614,t=-1.7614 p=0.0886 g=-0.5661,t=-1.3160 p=0.1983 g=-0.4249,t=0.0213 p=0.9831 g=0.0075,t=0.3016 p=0.7653 g=0.1085,t=-0.3581 p=0.7229 g=-0.1248,t=-0.5444 p=0.5909 g=-0.1984,t=-1.4530 p=0.1625 g=-0.4189,t=-1.4530 p=0.1625 g=-0.4189
condition=csfs,t=-0.0836 p=0.9341 g=-0.0312,t=0.1549 p=0.8781 g=0.0563,t=-0.2119 p=0.8338 g=-0.0770,t=-0.4454 p=0.6593 g=-0.1537,t=-0.9967 p=0.3278 g=-0.3577,t=-1.8450 p=0.0773 g=-0.6876,t=-0.6038 p=0.5513 g=-0.2208,t=-0.8621 p=0.3955 g=-0.2901,t=-1.7930 p=0.0850 g=-0.5461,t=-1.4768 p=0.1524 g=-0.4469,t=-0.4123 p=0.6836 g=-0.1513,t=1.2364 p=0.2317 g=0.5020,t=1.6058 p=0.1275 g=0.6806,t=1.7980 p=0.0942 g=0.8125,t=1.5757 p=0.1413 g=0.7560,t=3.3166 p**=0.0069 g=1.6514,t=3.3166 p**=0.0069 g=1.6514
condition=random,t=1.0428 p=0.3140 g=0.2925,t=0.6745 p=0.5095 g=0.1653,t=0.3031 p=0.7661 g=0.0861,t=0.2996 p=0.7685 g=0.0788,t=0.6184 p=0.5458 g=0.1725,t=0.1329 p=0.8962 g=0.0434,t=0.6997 p=0.4967 g=0.2584,t=0.4249 p=0.6772 g=0.1219,t=-1.7811 p=0.0878 g=-0.3269,t=-3.4794 p**=0.0017 g=-0.5974,t=-2.7089 p*=0.0128 g=-0.5155,t=-0.9589 p=0.3516 g=-0.2317,t=-1.0568 p=0.3047 g=-0.2350,t=-0.5673 p=0.5790 g=-0.1557,t=-0.9958 p=0.3334 g=-0.2319,t=-0.8151 p=0.4170 g=-0.0864,t=-0.8151 p=0.4170 g=-0.0864
