,f_count=1,f_count=2,f_count=3,f_count=4,f_count=5,f_count=6,f_count=7,f_count=8,f_count=9,f_count=10,f_count=11,f_count=12,f_count=13,f_count=14,f_count=15,f_count=16,f_count=17
condition=lay,"-0.023615972535881356, p=0.9813","-1.1742800316663018, p=0.2494","-1.0064849545847565, p=0.3221","0.1663393264899687, p=0.8691","-0.5859922579447192, p=0.5626","-0.7912826974083842, p=0.4365","-1.4094606102360678, p=0.1721","-1.7302620553018335, p=0.0969","-1.69190981774136, p=0.1045","-0.6814988079140324, p=0.5023","0.6243259614990506, p=0.5380","2.666791695063185, p*=0.0109","2.9494009189122425, p**=0.0053","3.089742014779508, p**=0.0035","1.1662199561364268, p=0.2532","1.6423166120552344, p=0.1135","1.6423166120552344, p=0.1135"
condition=domain_expert,"-1.0428455949940423, p=0.3140","-0.6745425133798965, p=0.5095","-0.3031219618966468, p=0.7661","-0.299588145610227, p=0.7685","-0.6184456759156391, p=0.5458","-0.13292510306513558, p=0.8962","-0.6997126128367166, p=0.4967","-0.42491257999659965, p=0.6772","1.7810934553170616, p=0.0878","3.479406606595171, p**=0.0017","2.708887727766407, p*=0.0128","0.9589160803519288, p=0.3516","1.056847907984852, p=0.3047","0.567284603132568, p=0.5790","0.995801227340527, p=0.3334","0.8151254674381417, p=0.4170","0.8151254674381417, p=0.4170"
condition=data_scientist,"0.011795987337901433, p=0.9907","-0.7435430661419811, p=0.4629","0.1919071855668752, p=0.8492","-0.4092463635660435, p=0.6859","-0.3487119168350682, p=0.7300","-0.7127452978707827, p=0.4831","-1.082810392167631, p=0.2904","-0.15413716958765997, p=0.8788","0.33513584165965193, p=0.7402","0.6621463932837545, p=0.5131","0.5205828658367507, p=0.6070","0.9531476794143908, p=0.3489","1.5078075979076213, p=0.1412","0.08162908685041251, p=0.9356","0.3814114794861755, p=0.7054","-1.0948777418203117, p=0.2844","-1.0948777418203117, p=0.2844"
condition=csfs,"-1.3750556295551724, p=0.1797","-0.532739961267147, p=0.5981","-0.6266231051108507, p=0.5363","-0.839180996869713, p=0.4093","-2.001429937585308, p=0.0558","-2.8851277538107376, p**=0.0079","-1.6717668414802627, p=0.1081","-1.4176656692740868, p=0.1698","-0.9754315400487563, p=0.3397","0.1678296132757462, p=0.8682","2.493773053619212, p*=0.0164","3.3197705157118516, p**=0.0017","4.154363622361911, p**=0.0001","4.739069826060756, p**=0.0000","5.08365681734314, p**=0.0000","0.8151254687786872, p=0.4170","0.8151254687786872, p=0.4170"
condition=random,"0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000","0.0, p=1.0000"
